Year,Units,Series,Value
2012,millions,,10.6
2013,millions,,11.6
2014,millions,,31.0
2015,millions,,11.0
2016,millions,,14.3
2017,millions,,28.6
2018,millions,,60.3
2019,millions,number of people gaining first-time or upgraded access to drinking water owing to german support,14.3
2020,millions,number of people gaining first-time or upgraded access to drinking water owing to german support,10.9
2019,millions,number of people gaining first-time or improved access to sanitation owing to german support,6.1
2020,millions,number of people gaining first-time or improved access to sanitation owing to german support,1.8
