Year,Units,time series,Value
1991,percentage,government deficit,-3.189
1992,percentage,government deficit,-2.605
1993,percentage,government deficit,-3.095
1994,percentage,government deficit,-2.524
1995,percentage,government deficit,-9.432
1996,percentage,government deficit,-3.57
1997,percentage,government deficit,-2.942
1998,percentage,government deficit,-2.567
1999,percentage,government deficit,-1.719
2000,percentage,government deficit,-1.585
2001,percentage,government deficit,-3.025
2002,percentage,government deficit,-3.875
2003,percentage,government deficit,-3.704
2004,percentage,government deficit,-3.334
2005,percentage,government deficit,-3.319
2006,percentage,government deficit,-1.653
2007,percentage,government deficit,0.261
2008,percentage,government deficit,-0.116
2009,percentage,government deficit,-3.151
2010,percentage,government deficit,-4.379
2011,percentage,government deficit,-0.881
2012,percentage,government deficit,0.009
2013,percentage,government deficit,0.04
2014,percentage,government deficit,0.58
2015,percentage,government deficit,0.961
2016,percentage,government deficit,1.16
2017,percentage,government deficit,1.336
2018,percentage,government deficit,1.95
2019,percentage,government deficit,1.531
2020,percentage,government deficit,-4.333
2021,percentage,government deficit,-3.727
2005,percentage,structural deficit,-2.2
2006,percentage,structural deficit,-1.8
2007,percentage,structural deficit,-0.7
2008,percentage,structural deficit,-0.6
2009,percentage,structural deficit,-0.5
2010,percentage,structural deficit,-2.1
2011,percentage,structural deficit,-1.2
2012,percentage,structural deficit,0.1
2013,percentage,structural deficit,0.6
2014,percentage,structural deficit,0.9
2015,percentage,structural deficit,1.1
2016,percentage,structural deficit,1.0
2017,percentage,structural deficit,0.7
2018,percentage,structural deficit,1.3
2019,percentage,structural deficit,0.8
2020,percentage,structural deficit,-2.2
2021,percentage,structural deficit,-2.5
1992,percentage,change of gross domestic product (price-adjusted),1.9
1993,percentage,change of gross domestic product (price-adjusted),-1.0
1994,percentage,change of gross domestic product (price-adjusted),2.4
1995,percentage,change of gross domestic product (price-adjusted),1.5
1996,percentage,change of gross domestic product (price-adjusted),0.8
1997,percentage,change of gross domestic product (price-adjusted),1.8
1998,percentage,change of gross domestic product (price-adjusted),2.0
1999,percentage,change of gross domestic product (price-adjusted),1.9
2000,percentage,change of gross domestic product (price-adjusted),2.9
2001,percentage,change of gross domestic product (price-adjusted),1.7
2002,percentage,change of gross domestic product (price-adjusted),-0.2
2003,percentage,change of gross domestic product (price-adjusted),-0.7
2004,percentage,change of gross domestic product (price-adjusted),1.2
2005,percentage,change of gross domestic product (price-adjusted),0.7
2006,percentage,change of gross domestic product (price-adjusted),3.8
2007,percentage,change of gross domestic product (price-adjusted),3.0
2008,percentage,change of gross domestic product (price-adjusted),1.0
2009,percentage,change of gross domestic product (price-adjusted),-5.7
2010,percentage,change of gross domestic product (price-adjusted),4.2
2011,percentage,change of gross domestic product (price-adjusted),3.9
2012,percentage,change of gross domestic product (price-adjusted),0.4
2013,percentage,change of gross domestic product (price-adjusted),0.4
2014,percentage,change of gross domestic product (price-adjusted),2.2
2015,percentage,change of gross domestic product (price-adjusted),1.5
2016,percentage,change of gross domestic product (price-adjusted),2.2
2017,percentage,change of gross domestic product (price-adjusted),2.7
2018,percentage,change of gross domestic product (price-adjusted),1.1
2019,percentage,change of gross domestic product (price-adjusted),1.1
2020,percentage,change of gross domestic product (price-adjusted),-4.6
2021,percentage,change of gross domestic product (price-adjusted),2.9
