Year,Units,federal state,GeoCode,Value
1991,percentage,,,39.0
1992,percentage,,,41.5
1993,percentage,,,45.1
1994,percentage,,,47.5
1995,percentage,,,54.9
1996,percentage,,,57.8
1997,percentage,,,58.9
1998,percentage,,,59.5
1999,percentage,,,60.4
2000,percentage,,,59.3
2001,percentage,,,58.2
2002,percentage,,,59.9
2003,percentage,,,63.5
2004,percentage,,,65.2
2005,percentage,,,67.5
2006,percentage,,,66.9
2007,percentage,,,64.2
2008,percentage,,,65.7
2009,percentage,,,73.2
2010,percentage,,,82.0
2011,percentage,,,79.4
2012,percentage,,,80.7
2013,percentage,,,78.3
2014,percentage,,,75.3
2015,percentage,,,71.9
2016,percentage,,,69.0
2017,percentage,,,64.6
2018,percentage,,,61.2
2019,percentage,,,58.9
2020,percentage,,,68.7
2021,percentage,,,69.3
1991,percentage,lower saxony,code03,20.8
1992,percentage,,,20.7
1993,percentage,,,20.3
1994,percentage,,,21.1
1995,percentage,,,22.1
1996,percentage,,,23.0
1997,percentage,,,23.5
1998,percentage,,,23.6
1999,percentage,,,23.5
2000,percentage,,,22.8
2001,percentage,,,22.6
2002,percentage,,,24.1
2003,percentage,,,25.6
2004,percentage,,,26.7
2005,percentage,,,27.7
2006,percentage,,,27.3
2007,percentage,,,26.4
2008,percentage,,,25.9
2009,percentage,,,27.8
2010,percentage,,,29.7
2011,percentage,,,29.0
2012,percentage,,,28.0
2013,percentage,,,27.8
2014,percentage,,,26.9
2015,percentage,,,28.0
2016,percentage,,,26.0
2017,percentage,,,25.3
2018,percentage,,,24.1
2019,percentage,,,22.9
2020,percentage,,,26.1
2021,percentage,,,24.9
1991,percentage,,,19.8
1992,percentage,,,19.4
1993,percentage,,,19.3
1994,percentage,,,19.8
1995,percentage,,,19.6
1996,percentage,,,20.8
1997,percentage,,,21.1
1998,percentage,,,21.6
1999,percentage,,,22.1
2000,percentage,,,22.2
2001,percentage,,,22.1
2002,percentage,,,23.1
2003,percentage,,,24.1
2004,percentage,,,25.0
2005,percentage,,,26.1
2006,percentage,,,26.4
2007,percentage,,,25.0
2008,percentage,,,24.3
2009,percentage,,,26.9
2010,percentage,,,39.6
2011,percentage,,,39.5
2012,percentage,,,44.3
2013,percentage,,,40.4
2014,percentage,,,38.6
2015,percentage,,,37.7
2016,percentage,,,36.3
2017,percentage,,,33.5
2018,percentage,,,31.2
2019,percentage,,,31.0
2020,percentage,,,33.1
2021,percentage,,,31.6
1991,percentage,,,19.6
1992,percentage,,,19.8
1993,percentage,,,19.8
1994,percentage,,,20.0
1995,percentage,,,20.3
1996,percentage,,,20.9
1997,percentage,,,21.6
1998,percentage,,,22.7
1999,percentage,,,23.2
2000,percentage,,,23.6
2001,percentage,,,24.1
2002,percentage,,,25.0
2003,percentage,,,26.3
2004,percentage,,,27.0
2005,percentage,,,28.1
2006,percentage,,,30.1
