Year,Units,Value
1991,percentage,2.4
1992,percentage,2.28
1993,percentage,2.21
1994,percentage,2.13
1995,percentage,2.13
1996,percentage,2.15
1997,percentage,2.18
1998,percentage,2.25
1999,percentage,2.33
2000,percentage,2.39
2001,percentage,2.38
2002,percentage,2.41
2003,percentage,2.44
2004,percentage,2.4
2005,percentage,2.4
2006,percentage,2.43
2007,percentage,2.42
2008,percentage,2.57
2009,percentage,2.69
2010,percentage,2.68
2011,percentage,2.75
2012,percentage,2.82
2013,percentage,2.78
2014,percentage,2.82
2015,percentage,2.88
2016,percentage,2.88
2017,percentage,2.99
2018,percentage,3.05
2019,percentage,3.11
2020,percentage,3.09
2021,percentage,3.08
2022,percentage,3.07
2025,percentage,
