Year,Units,federal state,GeoCode,Value
1991,percentage,,,2.4
1992,percentage,,,2.28
1993,percentage,,,2.21
1994,percentage,,,2.13
1995,percentage,,,2.14
1996,percentage,,,2.14
1997,percentage,,,2.19
1998,percentage,,,2.22
1999,percentage,,,2.35
2000,percentage,,,2.41
2001,percentage,,,2.4
2002,percentage,,,2.44
2003,percentage,,,2.47
2004,percentage,,,2.44
2005,percentage,,,2.44
2006,percentage,,,2.47
2007,percentage,,,2.46
2008,percentage,,,2.62
2009,percentage,,,2.74
2010,percentage,,,2.73
2011,percentage,,,2.81
2012,percentage,,,2.88
2013,percentage,,,2.84
2014,percentage,,,2.88
2015,percentage,,,2.93
2016,percentage,,,2.94
2017,percentage,,,3.05
2018,percentage,,,3.11
2019,percentage,,,3.17
2020,percentage,,,3.14
1991,percentage,baden-wuerttemberg,code08,
1992,percentage,,,
1993,percentage,,,
1994,percentage,,,
1995,percentage,,,
1996,percentage,,,
1997,percentage,,,
1998,percentage,,,
1999,percentage,,,
2000,percentage,,,3.76
2001,percentage,,,3.71
2002,percentage,,,3.75
2003,percentage,,,3.75
2004,percentage,,,3.74
2005,percentage,,,4.08
2006,percentage,,,4.02
2007,percentage,,,4.16
2008,percentage,,,4.42
2009,percentage,,,4.63
2010,percentage,,,4.45
2011,percentage,,,4.8
2012,percentage,,,4.9
2013,percentage,,,4.75
2014,percentage,,,4.85
2015,percentage,,,4.9
2016,percentage,,,4.93
2017,percentage,,,5.64
2018,percentage,,,5.68
2019,percentage,,,5.79
2020,percentage,,,5.69
1991,percentage,,,
1992,percentage,,,
1993,percentage,,,
1994,percentage,,,
1995,percentage,,,
1996,percentage,,,
1997,percentage,,,
1998,percentage,,,
1999,percentage,,,
2000,percentage,,,2.83
2001,percentage,,,2.92
2002,percentage,,,2.9
2003,percentage,,,3.0
2004,percentage,,,2.93
2005,percentage,,,2.9
2006,percentage,,,2.97
2007,percentage,,,2.82
2008,percentage,,,3.02
2009,percentage,,,3.05
2010,percentage,,,3.01
2011,percentage,,,2.98
2012,percentage,,,3.08
2013,percentage,,,3.11
2014,percentage,,,3.13
2015,percentage,,,3.13
2016,percentage,,,3.13
2017,percentage,,,3.11
2018,percentage,,,3.19
2019,percentage,,,3.41
2020,percentage,,,3.36
1991,percentage,,,
1992,percentage,,,
1993,percentage,,,
1994,percentage,,,
1995,percentage,,,
1996,percentage,,,
1997,percentage,,,
1998,percentage,,,
1999,percentage,,,
2000,percentage,,,3.4
2001,percentage,,,3.79
2002,percentage,,,3.89
2003,percentage,,,3.68
2004,percentage,,,3.68
2005,percentage,,,3.49
2006,percentage,,,3.54
2007,percentage,,,3.03
2008,percentage,,,3.17
2009,percentage,,,3.38
2010,percentage,,,3.44
2011,percentage,,,3.34
2012,percentage,,,3.44
2013,percentage,,,3.56
2014,percentage,,,3.61
2015,percentage,,,3.53
2016,percentage,,,3.42
2017,percentage,,,3.42
2018,percentage,,,3.51
2019,percentage,,,3.34
2020,percentage,,,3.32
1991,percentage,,,
1992,percentage,,,
1993,percentage,,,
1994,percentage,,,
1995,percentage,,,
1996,percentage,,,
1997,percentage,,,
1998,percentage,,,
1999,percentage,,,
2000,percentage,,,1.44
2001,percentage,,,1.44
2002,percentage,,,1.36
2003,percentage,,,1.18
2004,percentage,,,1.24
2005,percentage,,,1.18
2006,percentage,,,1.23
2007,percentage,,,1.23
2008,percentage,,,1.32
2009,percentage,,,1.4
2010,percentage,,,1.43
2011,percentage,,,1.66
2012,percentage,,,1.65
2013,percentage,,,1.55
2014,percentage,,,1.58
2015,percentage,,,1.67
2016,percentage,,,1.73
2017,percentage,,,1.71
2018,percentage,,,1.7
2019,percentage,,,1.82
2020,percentage,,,1.83
1991,percentage,,,
1992,percentage,,,
1993,percentage,,,
1994,percentage,,,
1995,percentage,,,
1996,percentage,,,
1997,percentage,,,
