Year,Value,Units,Series
2015,,percentage,anteil nachhaltiger vergabeverfahren
2016,,percentage,anteil nachhaltiger vergabeverfahren
2017,,percentage,anteil nachhaltiger vergabeverfahren
2018,,percentage,anteil nachhaltiger vergabeverfahren
2019,,percentage,anteil nachhaltiger vergabeverfahren
2020,,percentage,anteil nachhaltiger vergabeverfahren
2021,12.6,percentage,anteil nachhaltiger vergabeverfahren
2022,12.8,percentage,anteil nachhaltiger vergabeverfahren
2024,,percentage,anteil nachhaltiger vergabeverfahren
2023,,percentage,anteil nachhaltiger vergabeverfahren
2026,,percentage,anteil nachhaltiger vergabeverfahren
2015,100.0,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2016,99.954,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2017,99.679,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2018,99.854,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2019,100.427,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2020,101.93,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2021,102.998,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2022,101.606,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2024,,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2023,,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2026,,2015 = 100,co2 emissions of commercially available vehicles in the public sector
2015,,percentage,xxxnachhaltige textilbeschaffung
2016,,percentage,xxxnachhaltige textilbeschaffung
2017,,percentage,xxxnachhaltige textilbeschaffung
2018,,percentage,xxxnachhaltige textilbeschaffung
2019,,percentage,xxxnachhaltige textilbeschaffung
2020,,percentage,xxxnachhaltige textilbeschaffung
2021,,percentage,xxxnachhaltige textilbeschaffung
2022,,percentage,xxxnachhaltige textilbeschaffung
2024,99.999,percentage,xxxnachhaltige textilbeschaffung
2023,,percentage,xxxnachhaltige textilbeschaffung
2026,,percentage,xxxnachhaltige textilbeschaffung
