Year,Value,Units,GeoCode
1993,8354.095,"per 100,000 inhabitants",
1994,8062.642,"per 100,000 inhabitants",
1995,8211.891,"per 100,000 inhabitants",
1996,8165.843,"per 100,000 inhabitants",
1997,8078.662,"per 100,000 inhabitants",
1998,7923.243,"per 100,000 inhabitants",
1999,7742.636,"per 100,000 inhabitants",
2000,7691.754,"per 100,000 inhabitants",
2001,7811.684,"per 100,000 inhabitants",
2002,7977.821,"per 100,000 inhabitants",
2003,8055.254,"per 100,000 inhabitants",
2004,8137.919,"per 100,000 inhabitants",
2005,7851.874,"per 100,000 inhabitants",
2006,7757.168,"per 100,000 inhabitants",
2007,7751.507,"per 100,000 inhabitants",
2008,7556.892,"per 100,000 inhabitants",
2009,7509.802,"per 100,000 inhabitants",
2010,7384.652,"per 100,000 inhabitants",
2011,7467.62,"per 100,000 inhabitants",
2012,7465.7,"per 100,000 inhabitants",
2013,7403.6,"per 100,000 inhabitants",
2014,7530.3,"per 100,000 inhabitants",
2015,7796.6,"per 100,000 inhabitants",
2016,7754.759,"per 100,000 inhabitants",
2017,6982.4,"per 100,000 inhabitants",
2018,6710.185,"per 100,000 inhabitants",
2019,6548.365,"per 100,000 inhabitants",
2020,6385.513,"per 100,000 inhabitants",
2021,6070.42,"per 100,000 inhabitants",
1994,5729.469,"per 100,000 inhabitants",
1995,5675.863,"per 100,000 inhabitants",
1996,5763.052,"per 100,000 inhabitants",
1997,5822.949,"per 100,000 inhabitants",
1998,5611.139,"per 100,000 inhabitants",
1999,5508.378,"per 100,000 inhabitants",
2000,5458.928,"per 100,000 inhabitants",
2001,5551.18,"per 100,000 inhabitants",
2002,5730.474,"per 100,000 inhabitants",
2003,5547.172,"per 100,000 inhabitants",
2004,6220.291,"per 100,000 inhabitants",
2005,5883.028,"per 100,000 inhabitants",
2006,5794.919,"per 100,000 inhabitants",
2007,5815.19,"per 100,000 inhabitants",
2008,5628.669,"per 100,000 inhabitants",
2009,5515.582,"per 100,000 inhabitants",
2010,5457.241,"per 100,000 inhabitants",
2011,5562.282,"per 100,000 inhabitants",
2012,5455.051,"per 100,000 inhabitants",
2013,5450.5,"per 100,000 inhabitants",
2014,5592.3,"per 100,000 inhabitants",
2015,5760.805,"per 100,000 inhabitants",
2016,5598.845,"per 100,000 inhabitants",
2017,5295.459,"per 100,000 inhabitants",
2018,5190.519,"per 100,000 inhabitants",
2019,5183.715,"per 100,000 inhabitants",
2020,4851.774,"per 100,000 inhabitants",
2021,4380.16,"per 100,000 inhabitants",
1993,5698.936,"per 100,000 inhabitants",
1994,5755.526,"per 100,000 inhabitants",
1995,5659.312,"per 100,000 inhabitants",
1996,5792.028,"per 100,000 inhabitants",
1997,5840.88,"per 100,000 inhabitants",
1998,5729.465,"per 100,000 inhabitants",
1999,5712.341,"per 100,000 inhabitants",
2000,5654.849,"per 100,000 inhabitants",
2001,5789.82,"per 100,000 inhabitants",
2002,5671.818,"per 100,000 inhabitants",
2003,5754.791,"per 100,000 inhabitants",
2004,5801.895,"per 100,000 inhabitants",
2005,5532.8,"per 100,000 inhabitants",
2006,5455.26,"per 100,000 inhabitants",
2007,5392.219,"per 100,000 inhabitants",
2008,5199.994,"per 100,000 inhabitants",
2009,5130.388,"per 100,000 inhabitants",
2010,5017.309,"per 100,000 inhabitants",
2011,5031.799,"per 100,000 inhabitants",
2012,5037.742,"per 100,000 inhabitants",
2013,5073.1,"per 100,000 inhabitants",
