Year,Value,Units,Series
1990.0,,kilogram per hectare,moving five-year average shown for each middle year
1991.0,,kilogram per hectare,moving five-year average shown for each middle year
1992.0,116.6,kilogram per hectare,moving five-year average shown for each middle year
1993.0,111.0,kilogram per hectare,moving five-year average shown for each middle year
1994.0,109.1,kilogram per hectare,moving five-year average shown for each middle year
1995.0,107.5,kilogram per hectare,moving five-year average shown for each middle year
1996.0,107.8,kilogram per hectare,moving five-year average shown for each middle year
1997.0,108.7,kilogram per hectare,moving five-year average shown for each middle year
1998.0,109.1,kilogram per hectare,moving five-year average shown for each middle year
1999.0,107.9,kilogram per hectare,moving five-year average shown for each middle year
2000.0,108.3,kilogram per hectare,moving five-year average shown for each middle year
2001.0,107.8,kilogram per hectare,moving five-year average shown for each middle year
2002.0,105.1,kilogram per hectare,moving five-year average shown for each middle year
2003.0,102.5,kilogram per hectare,moving five-year average shown for each middle year
2004.0,103.3,kilogram per hectare,moving five-year average shown for each middle year
2005.0,102.2,kilogram per hectare,moving five-year average shown for each middle year
2006.0,101.8,kilogram per hectare,moving five-year average shown for each middle year
2007.0,99.1,kilogram per hectare,moving five-year average shown for each middle year
2008.0,96.6,kilogram per hectare,moving five-year average shown for each middle year
2009.0,96.8,kilogram per hectare,moving five-year average shown for each middle year
2010.0,94.9,kilogram per hectare,moving five-year average shown for each middle year
2011.0,93.0,kilogram per hectare,moving five-year average shown for each middle year
2012.0,93.2,kilogram per hectare,moving five-year average shown for each middle year
2013.0,95.6,kilogram per hectare,moving five-year average shown for each middle year
2014.0,94.0,kilogram per hectare,moving five-year average shown for each middle year
2015.0,93.8,kilogram per hectare,moving five-year average shown for each middle year
2016.0,92.7,kilogram per hectare,moving five-year average shown for each middle year
2017.0,91.5,kilogram per hectare,moving five-year average shown for each middle year
2018.0,87.0,kilogram per hectare,moving five-year average shown for each middle year
2019.0,,kilogram per hectare,moving five-year average shown for each middle year
2020.0,,kilogram per hectare,moving five-year average shown for each middle year
1990.0,,kilogram per hectare,moving five-year average shown for each middle year
1991.0,,kilogram per hectare,moving five-year average shown for each middle year
1992.0,116.6,kilogram per hectare,moving five-year average shown for each middle year
1993.0,111.0,kilogram per hectare,moving five-year average shown for each middle year
1994.0,109.1,kilogram per hectare,moving five-year average shown for each middle year
1995.0,107.5,kilogram per hectare,moving five-year average shown for each middle year
1996.0,107.8,kilogram per hectare,moving five-year average shown for each middle year
1997.0,108.7,kilogram per hectare,moving five-year average shown for each middle year
1998.0,109.1,kilogram per hectare,moving five-year average shown for each middle year
1999.0,107.9,kilogram per hectare,moving five-year average shown for each middle year
2000.0,108.3,kilogram per hectare,moving five-year average shown for each middle year
2001.0,107.8,kilogram per hectare,moving five-year average shown for each middle year
2002.0,105.1,kilogram per hectare,moving five-year average shown for each middle year
2003.0,102.5,kilogram per hectare,moving five-year average shown for each middle year
2004.0,103.3,kilogram per hectare,moving five-year average shown for each middle year
2005.0,102.2,kilogram per hectare,moving five-year average shown for each middle year
2006.0,101.8,kilogram per hectare,moving five-year average shown for each middle year
2007.0,99.1,kilogram per hectare,moving five-year average shown for each middle year
2008.0,96.6,kilogram per hectare,moving five-year average shown for each middle year
2009.0,96.8,kilogram per hectare,moving five-year average shown for each middle year
2010.0,94.9,kilogram per hectare,moving five-year average shown for each middle year
2011.0,93.0,kilogram per hectare,moving five-year average shown for each middle year
2012.0,93.2,kilogram per hectare,moving five-year average shown for each middle year
2013.0,95.6,kilogram per hectare,moving five-year average shown for each middle year
2014.0,94.0,kilogram per hectare,moving five-year average shown for each middle year
2015.0,93.8,kilogram per hectare,moving five-year average shown for each middle year
2016.0,92.7,kilogram per hectare,moving five-year average shown for each middle year
2017.0,91.5,kilogram per hectare,moving five-year average shown for each middle year
2018.0,87.0,kilogram per hectare,moving five-year average shown for each middle year
2019.0,,kilogram per hectare,moving five-year average shown for each middle year
2030.0,,kilogram per hectare,moving five-year average shown for each middle year
1990.0,141.5,kilogram per hectare,calculated annual values
1991.0,117.1,kilogram per hectare,calculated annual values
1992.0,111.9,kilogram per hectare,calculated annual values
1993.0,106.3,kilogram per hectare,calculated annual values
1994.0,106.3,kilogram per hectare,calculated annual values
1995.0,113.2,kilogram per hectare,calculated annual values
1996.0,107.7,kilogram per hectare,calculated annual values
1997.0,104.0,kilogram per hectare,calculated annual values
1998.0,107.8,kilogram per hectare,calculated annual values
1999.0,111.0,kilogram per hectare,calculated annual values
2000.0,115.3,kilogram per hectare,calculated annual values
2001.0,101.7,kilogram per hectare,calculated annual values
2002.0,105.8,kilogram per hectare,calculated annual values
2003.0,105.4,kilogram per hectare,calculated annual values
2004.0,97.3,kilogram per hectare,calculated annual values
2005.0,102.4,kilogram per hectare,calculated annual values
2006.0,105.7,kilogram per hectare,calculated annual values
2007.0,100.4,kilogram per hectare,calculated annual values
2008.0,103.2,kilogram per hectare,calculated annual values
2009.0,83.7,kilogram per hectare,calculated annual values
2010.0,90.3,kilogram per hectare,calculated annual values
2011.0,106.2,kilogram per hectare,calculated annual values
2012.0,91.0,kilogram per hectare,calculated annual values
2013.0,93.6,kilogram per hectare,calculated annual values
2014.0,84.8,kilogram per hectare,calculated annual values
2015.0,102.1,kilogram per hectare,calculated annual values
2016.0,98.5,kilogram per hectare,calculated annual values
2017.0,90.0,kilogram per hectare,calculated annual values
2018.0,87.9,kilogram per hectare,calculated annual values
2019.0,78.7,kilogram per hectare,calculated annual values
2020.0,79.7,kilogram per hectare,calculated annual values
1990.0,141.5,kilogram per hectare,calculated annual values
1991.0,117.1,kilogram per hectare,calculated annual values
1992.0,111.9,kilogram per hectare,calculated annual values
1993.0,106.3,kilogram per hectare,calculated annual values
1994.0,106.3,kilogram per hectare,calculated annual values
1995.0,113.2,kilogram per hectare,calculated annual values
1996.0,107.7,kilogram per hectare,calculated annual values
1997.0,104.0,kilogram per hectare,calculated annual values
1998.0,107.8,kilogram per hectare,calculated annual values
1999.0,111.0,kilogram per hectare,calculated annual values
2000.0,115.3,kilogram per hectare,calculated annual values
2001.0,101.7,kilogram per hectare,calculated annual values
2002.0,105.8,kilogram per hectare,calculated annual values
2003.0,105.4,kilogram per hectare,calculated annual values
2004.0,97.3,kilogram per hectare,calculated annual values
2005.0,102.4,kilogram per hectare,calculated annual values
2006.0,105.7,kilogram per hectare,calculated annual values
2007.0,100.4,kilogram per hectare,calculated annual values
2008.0,103.2,kilogram per hectare,calculated annual values
2009.0,83.7,kilogram per hectare,calculated annual values
2010.0,90.3,kilogram per hectare,calculated annual values
2011.0,106.2,kilogram per hectare,calculated annual values
2012.0,91.0,kilogram per hectare,calculated annual values
2013.0,93.6,kilogram per hectare,calculated annual values
2014.0,84.8,kilogram per hectare,calculated annual values
2015.0,102.1,kilogram per hectare,calculated annual values
2016.0,98.5,kilogram per hectare,calculated annual values
2017.0,90.0,kilogram per hectare,calculated annual values
2018.0,87.9,kilogram per hectare,calculated annual values
2019.0,78.7,kilogram per hectare,calculated annual values
2030.0,,kilogram per hectare,calculated annual values
