Year,Value,Units
2005.0,100.0,2005 = 100
2006.0,99.79,2005 = 100
2007.0,97.03,2005 = 100
2008.0,94.69,2005 = 100
2009.0,87.98,2005 = 100
2010.0,91.06,2005 = 100
2011.0,88.3,2005 = 100
2012.0,87.19,2005 = 100
2013.0,86.06,2005 = 100
2014.0,83.21,2005 = 100
2015.0,82.36,2005 = 100
2016.0,79.92,2005 = 100
2017.0,78.33,2005 = 100
2018.0,75.18,2005 = 100
2019.0,71.34,2005 = 100
2020.0,65.2,2005 = 100
2005.0,100.0,2005 = 100
2006.0,99.79,2005 = 100
2007.0,97.03,2005 = 100
2008.0,94.69,2005 = 100
2009.0,87.98,2005 = 100
2010.0,91.06,2005 = 100
2011.0,88.3,2005 = 100
2012.0,87.19,2005 = 100
2013.0,86.06,2005 = 100
2014.0,83.21,2005 = 100
2015.0,82.36,2005 = 100
2016.0,79.92,2005 = 100
2017.0,78.33,2005 = 100
2018.0,75.18,2005 = 100
2019.0,71.34,2005 = 100
2030.0,,2005 = 100
2030.0,,2005 = 100
2030.0,,2005 = 100
2030.0,,2005 = 100
2030.0,,2005 = 100
2030.0,,2005 = 100
