Year,Value,Units
2007.0,29.659,millions
2008.0,21.016,millions
2009.0,31.126,millions
2010.0,34.611,millions
2011.0,36.372,millions
2012.0,12.507,millions
2013.0,17.184,millions
2014.0,11.904,millions
2015.0,4.987,millions
2016.0,3.842,millions
2017.0,2.539,millions
2018.0,2.9,millions
2019.0,0.2,millions
2020.0,0.04,millions
2007.0,29.659,millions
2008.0,21.016,millions
2009.0,31.126,millions
2010.0,34.611,millions
2011.0,36.372,millions
2012.0,12.507,millions
2013.0,17.184,millions
2014.0,11.904,millions
2015.0,4.987,millions
2016.0,3.842,millions
2017.0,2.539,millions
2018.0,2.9,millions
2019.0,0.2,millions
2030.0,,millions
