Year,Value,Units,GeoCode
1999.0,14.9,percentage,
2000.0,14.9,percentage,
2001.0,12.5,percentage,
2002.0,12.6,percentage,
2003.0,12.8,percentage,
2004.0,12.1,percentage,
2005.0,13.83,percentage,
2006.0,14.09,percentage,
2007.0,12.73,percentage,
2008.0,11.8,percentage,
2009.0,11.1,percentage,
2010.0,11.86,percentage,
2011.0,11.56,percentage,
2012.0,10.37,percentage,
2013.0,9.81,percentage,
2014.0,9.53,percentage,
2015.0,9.82,percentage,
2016.0,10.3,percentage,
2017.0,10.11,percentage,
2018.0,10.34,percentage,
2019.0,10.34,percentage,
2020.0,10.1,percentage,
2021.0,11.6,percentage,
1999.0,14.9,percentage,
2000.0,14.9,percentage,
2001.0,12.5,percentage,
2002.0,12.6,percentage,
2003.0,12.8,percentage,
2004.0,12.1,percentage,
2005.0,13.83,percentage,
2006.0,14.09,percentage,
2007.0,12.73,percentage,
2008.0,11.8,percentage,
2009.0,11.1,percentage,
2010.0,11.86,percentage,
2011.0,11.56,percentage,
2012.0,10.37,percentage,
2013.0,9.81,percentage,
2014.0,9.53,percentage,
2015.0,9.82,percentage,
2016.0,10.3,percentage,
2017.0,10.11,percentage,
2018.0,10.34,percentage,
2019.0,10.34,percentage,
2020.0,10.1,percentage,
2020.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
2030.0,,percentage,
