Year,Value,Units,Series
2008,21.2,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2009,24.0,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2010,25.9,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2011,28.0,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2012,30.0,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2013,32.6,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2014,34.8,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2015,36.9,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2016,38.8,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2017,40.4,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2018,42.1,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2019,43.5,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2020,43.7,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2021,46.2,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2030,,percentage,"xxxanteil der kinder, deren väter elterngeld bezogen haben"
2008,,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2009,6.8,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2010,7.0,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2011,7.4,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2012,7.7,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2013,8.2,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2014,8.6,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2015,8.8,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2016,9.1,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2017,9.3,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2018,9.5,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2019,9.6,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2020,9.6,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2021,10.0,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
2030,,percentage,xxxanteil der männlichen bezieher an allen genommenen elterngeldmonaten
