Year,Value,Units
2000,-1.58,percentage
2001,-3.03,percentage
2002,-3.87,percentage
2003,-3.7,percentage
2004,-3.33,percentage
2005,-3.32,percentage
2006,-1.65,percentage
2007,0.26,percentage
2008,-0.12,percentage
2009,-3.15,percentage
2010,-4.38,percentage
2011,-0.88,percentage
2012,0.01,percentage
2013,0.04,percentage
2014,0.58,percentage
2015,0.96,percentage
2016,1.16,percentage
2017,1.34,percentage
2018,1.91,percentage
2019,1.47,percentage
2020,-4.31,percentage
2021,-3.71,percentage
2005,-2.2,percentage
2006,-1.8,percentage
2007,-0.7,percentage
2008,-0.6,percentage
2009,-0.5,percentage
2010,-2.1,percentage
2011,-1.2,percentage
2012,0.1,percentage
2013,0.6,percentage
2014,0.9,percentage
2015,1.1,percentage
2016,1.0,percentage
2017,0.7,percentage
2018,1.3,percentage
2019,0.8,percentage
2020,-2.0,percentage
2021,-2.1,percentage
