Year,Value,Units,GeoCode
1991,39.0,percentage,
1992,41.5,percentage,
1993,45.1,percentage,
1994,47.5,percentage,
1995,54.9,percentage,
1996,57.8,percentage,
1997,58.9,percentage,
1998,59.5,percentage,
1999,60.4,percentage,
2000,59.3,percentage,
2001,58.2,percentage,
2002,59.9,percentage,
2003,63.5,percentage,
2004,65.2,percentage,
2005,67.5,percentage,
2006,66.9,percentage,
2007,64.2,percentage,
2008,65.7,percentage,
2009,73.2,percentage,
2010,82.0,percentage,
2011,79.4,percentage,
2012,80.7,percentage,
2013,78.3,percentage,
2014,75.3,percentage,
2015,71.9,percentage,
2016,69.0,percentage,
2017,64.6,percentage,
2018,61.2,percentage,
2019,58.9,percentage,
2020,68.7,percentage,
2021,69.3,percentage,
1992,20.7,percentage,
1993,20.3,percentage,
1994,21.1,percentage,
1995,22.1,percentage,
1996,23.0,percentage,
1997,23.5,percentage,
1998,23.6,percentage,
1999,23.5,percentage,
2000,22.8,percentage,
2001,22.6,percentage,
2002,24.1,percentage,
2003,25.6,percentage,
2004,26.7,percentage,
2005,27.7,percentage,
2006,27.3,percentage,
2007,26.4,percentage,
2008,25.9,percentage,
2009,27.8,percentage,
2010,29.7,percentage,
2011,29.0,percentage,
2012,28.0,percentage,
2013,27.8,percentage,
2014,26.9,percentage,
2015,28.0,percentage,
2016,26.0,percentage,
2017,25.3,percentage,
2018,24.1,percentage,
2019,22.9,percentage,
2020,26.1,percentage,
2021,24.9,percentage,
1991,19.8,percentage,
1992,19.4,percentage,
1993,19.3,percentage,
1994,19.8,percentage,
1995,19.6,percentage,
1996,20.8,percentage,
1997,21.1,percentage,
1998,21.6,percentage,
1999,22.1,percentage,
2000,22.2,percentage,
2001,22.1,percentage,
2002,23.1,percentage,
2003,24.1,percentage,
2004,25.0,percentage,
2005,26.1,percentage,
2006,26.4,percentage,
2007,25.0,percentage,
2008,24.3,percentage,
2009,26.9,percentage,
2010,39.6,percentage,
2011,39.5,percentage,
2012,44.3,percentage,
2013,40.4,percentage,
2014,38.6,percentage,
2015,37.7,percentage,
2016,36.3,percentage,
2017,33.5,percentage,
2018,31.2,percentage,
2019,31.0,percentage,
2020,33.1,percentage,
2021,31.6,percentage,
1991,19.6,percentage,
1992,19.8,percentage,
1993,19.8,percentage,
1994,20.0,percentage,
1995,20.3,percentage,
1996,20.9,percentage,
1997,21.6,percentage,
1998,22.7,percentage,
1999,23.2,percentage,
2000,23.6,percentage,
2001,24.1,percentage,
2002,25.0,percentage,
2003,26.3,percentage,
2004,27.0,percentage,
2005,28.1,percentage,
2006,30.1,percentage,
2007,29.4,percentage,
2008,29.2,percentage,
2009,31.5,percentage,
2010,36.7,percentage,
2011,36.9,percentage,
2012,37.0,percentage,
2013,36.4,percentage,
2014,35.5,percentage,
2015,34.3,percentage,
2016,33.7,percentage,
2017,32.2,percentage,
2018,30.2,percentage,
2019,29.2,percentage,
2020,30.6,percentage,
2021,25.2,percentage,
1991,36.5,percentage,
1992,38.0,percentage,
1993,38.5,percentage,
1994,39.6,percentage,
1995,36.9,percentage,
1996,37.4,percentage,
1997,36.0,percentage,
1998,34.3,percentage,
1999,32.9,percentage,
2000,31.9,percentage,
2001,30.8,percentage,
2002,27.5,percentage,
2003,28.6,percentage,
2004,28.9,percentage,
2005,29.0,percentage,
2006,32.6,percentage,
2007,32.4,percentage,
2008,33.4,percentage,
2009,40.6,percentage,
2010,48.4,percentage,
2011,47.7,percentage,
2012,50.0,percentage,
2013,52.7,percentage,
2014,52.5,percentage,
2015,52.4,percentage,
2016,52.1,percentage,
2017,50.1,percentage,
2018,48.6,percentage,
2019,48.6,percentage,
2020,51.6,percentage,
2021,48.9,percentage,
1991,5.0,percentage,
1992,10.4,percentage,
1993,8.5,percentage,
1994,13.2,percentage,
1995,14.9,percentage,
1996,17.6,percentage,
1997,19.6,percentage,
1998,20.9,percentage,
1999,21.2,percentage,
2000,21.1,percentage,
2001,20.8,percentage,
2002,20.1,percentage,
2003,20.1,percentage,
2004,20.1,percentage,
2005,20.6,percentage,
2006,18.1,percentage,
2007,16.0,percentage,
2008,13.3,percentage,
2009,11.7,percentage,
2010,10.7,percentage,
2011,9.1,percentage,
2012,9.2,percentage,
2013,8.1,percentage,
2014,6.8,percentage,
2015,5.8,percentage,
2016,4.5,percentage,
2017,3.8,percentage,
2018,3.4,percentage,
2019,2.9,percentage,
2020,5.8,percentage,
2021,6.3,percentage,
1991,5.4,percentage,
1992,15.9,percentage,
1993,13.0,percentage,
1994,19.1,percentage,
1995,23.1,percentage,
1996,27.2,percentage,
1997,32.8,percentage,
1998,36.1,percentage,
1999,39.4,percentage,
2000,41.8,percentage,
2001,39.1,percentage,
2002,39.9,percentage,
2003,42.5,percentage,
2004,43.9,percentage,
2005,46.9,percentage,
2006,47.1,percentage,
2007,46.4,percentage,
2008,44.9,percentage,
2009,46.8,percentage,
2010,47.4,percentage,
2011,46.4,percentage,
2012,44.2,percentage,
2013,42.4,percentage,
2014,41.6,percentage,
2015,41.5,percentage,
2016,39.5,percentage,
2017,38.7,percentage,
2018,36.4,percentage,
2019,36.3,percentage,
2020,37.4,percentage,
2021,36.6,percentage,
1991,23.7,percentage,
1992,23.6,percentage,
1993,23.1,percentage,
1994,24.2,percentage,
1995,24.3,percentage,
1996,25.4,percentage,
1997,26.1,percentage,
1998,27.0,percentage,
1999,27.3,percentage,
2000,27.5,percentage,
2001,27.1,percentage,
2002,28.6,percentage,
2003,29.9,percentage,
2004,31.3,percentage,
2005,32.7,percentage,
2006,35.0,percentage,
2007,34.3,percentage,
2008,33.6,percentage,
2009,38.9,percentage,
2010,42.1,percentage,
2011,41.6,percentage,
2012,40.7,percentage,
2013,39.6,percentage,
2014,38.7,percentage,
2015,37.6,percentage,
2016,38.5,percentage,
2017,36.2,percentage,
2018,37.0,percentage,
2019,35.2,percentage,
2020,37.0,percentage,
2021,36.2,percentage,
1991,6.7,percentage,
1992,12.7,percentage,
1993,10.3,percentage,
1994,16.9,percentage,
1995,24.9,percentage,
1996,28.5,percentage,
1997,31.5,percentage,
1998,30.1,percentage,
1999,31.8,percentage,
2000,33.6,percentage,
2001,34.5,percentage,
2002,35.6,percentage,
2003,36.3,percentage,
2004,37.4,percentage,
2005,39.7,percentage,
2006,41.5,percentage,
2007,39.3,percentage,
2008,37.8,percentage,
2009,39.9,percentage,
2010,39.4,percentage,
2011,37.1,percentage,
2012,36.0,percentage,
2013,35.7,percentage,
2014,33.3,percentage,
2015,32.2,percentage,
2016,30.7,percentage,
2017,30.2,percentage,
2018,27.4,percentage,
2019,26.4,percentage,
2020,28.6,percentage,
2021,28.1,percentage,
1991,11.5,percentage,
1992,11.6,percentage,
1993,11.6,percentage,
1994,11.7,percentage,
1995,12.0,percentage,
1996,11.8,percentage,
1997,12.2,percentage,
1998,12.1,percentage,
1999,11.9,percentage,
2000,11.7,percentage,
2001,11.4,percentage,
2002,12.1,percentage,
2003,12.3,percentage,
2004,12.8,percentage,
2005,13.3,percentage,
2006,13.5,percentage,
2007,12.8,percentage,
2008,12.5,percentage,
2009,17.7,percentage,
2010,17.0,percentage,
2011,16.9,percentage,
2012,16.6,percentage,
2013,16.6,percentage,
2014,13.5,percentage,
2015,13.3,percentage,
2016,13.0,percentage,
2017,11.0,percentage,
2018,10.2,percentage,
2019,10.1,percentage,
2020,11.3,percentage,
2021,10.7,percentage,
1991,9.3,percentage,
1992,9.1,percentage,
1993,8.9,percentage,
1994,8.9,percentage,
1995,8.6,percentage,
1996,8.6,percentage,
1997,9.2,percentage,
1998,9.4,percentage,
1999,9.4,percentage,
2000,9.0,percentage,
2001,8.5,percentage,
2002,8.4,percentage,
2003,8.9,percentage,
2004,9.2,percentage,
2005,9.4,percentage,
2006,9.3,percentage,
2007,8.6,percentage,
2008,8.2,percentage,
2009,9.7,percentage,
2010,9.6,percentage,
2011,8.8,percentage,
2012,8.5,percentage,
2013,7.8,percentage,
2014,7.1,percentage,
2015,6.4,percentage,
2016,5.7,percentage,
2017,5.0,percentage,
2018,4.4,percentage,
2019,4.0,percentage,
2020,5.1,percentage,
2021,5.2,percentage,
1991,11.9,percentage,
1992,14.0,percentage,
1993,16.9,percentage,
1994,19.4,percentage,
1995,25.1,percentage,
1996,29.3,percentage,
1997,32.4,percentage,
1998,35.0,percentage,
1999,37.2,percentage,
2000,39.1,percentage,
2001,44.4,percentage,
2002,51.9,percentage,
2003,57.1,percentage,
2004,63.1,percentage,
2005,65.8,percentage,
2006,65.1,percentage,
2007,59.9,percentage,
2008,56.5,percentage,
2009,59.3,percentage,
2010,58.5,percentage,
2011,56.8,percentage,
2012,55.5,percentage,
2013,53.5,percentage,
2014,50.4,percentage,
2015,47.0,percentage,
2016,43.6,percentage,
2017,40.0,percentage,
2018,36.3,percentage,
2019,34.3,percentage,
2020,38.6,percentage,
2021,38.0,percentage,
1991,5.6,percentage,
1992,14.5,percentage,
1993,11.9,percentage,
1994,19.8,percentage,
1995,25.4,percentage,
1996,28.4,percentage,
1997,32.1,percentage,
1998,33.9,percentage,
1999,34.4,percentage,
2000,34.3,percentage,
2001,31.9,percentage,
2002,33.1,percentage,
2003,35.3,percentage,
2004,37.8,percentage,
2005,37.6,percentage,
2006,37.0,percentage,
2007,35.8,percentage,
2008,34.3,percentage,
2009,35.5,percentage,
2010,39.5,percentage,
2011,38.0,percentage,
