Value,Disaggregation combinations using this value,Number of indicators
ahrweiler,2,1
aichach-friedberg,2,1
alb-donau-kreis,2,1
altenburger land,2,1
altenkirchen (westerwald),2,1
altmarkkreis salzwedel,2,1
altötting,2,1
alzey-worms,2,1
"amberg, stadt",2,1
amberg-sulzbach,2,1
ammerland,2,1
anhalt-bitterfeld,2,1
"ansbach, stadt",2,1
ansbach,2,1
"aschaffenburg, stadt",2,1
aschaffenburg,2,1
"augsburg, stadt",2,1
augsburg,2,1
aurich,2,1
bad dürkheim,2,1
bad kissingen,2,1
bad kreuznach,2,1
bad tölz-wolfratshausen,2,1
"baden-baden, stadt",2,1
"bamberg, stadt",2,1
bamberg,2,1
barnim,2,1
bautzen,2,1
"bayreuth, stadt",2,1
bayreuth,2,1
berchtesgadener land,2,1
bergstraße,2,1
"berlin, stadt",2,1
bernkastel-wittlich,2,1
biberach,2,1
"bielefeld, stadt",2,1
birkenfeld,2,1
"bochum, stadt",2,1
bodenseekreis,2,1
"bonn, stadt",2,1
borken,2,1
"bottrop, stadt",2,1
"brandenburg an der havel, stadt",2,1
"braunschweig, stadt",2,1
breisgau-hochschwarzwald,2,1
"bremen, stadt",2,1
"bremerhaven, stadt",2,1
burgenlandkreis,2,1
böblingen,2,1
börde,2,1
calw,2,1
celle,2,1
cham,2,1
"chemnitz, stadt",2,1
cloppenburg,2,1
"coburg, stadt",2,1
coburg,2,1
cochem-zell,2,1
coesfeld,2,1
"cottbus, stadt",2,1
cuxhaven,2,1
dachau,2,1
dahme-spreewald,2,1
darmstadt-dieburg,2,1
"darmstadt, stadt",2,1
deggendorf,2,1
"delmenhorst, stadt",2,1
"dessau-roßlau, stadt",2,1
diepholz,2,1
dillingen an der donau,2,1
dingolfing-landau,2,1
dithmarschen,2,1
donau-ries,2,1
donnersbergkreis,2,1
"dortmund, stadt",2,1
"dresden, stadt",2,1
"duisburg, stadt",2,1
düren,2,1
"düsseldorf, stadt",2,1
ebersberg,2,1
eichsfeld,2,1
eichstätt,2,1
eifelkreis bitburg-prüm,2,1
"eisenach, stadt",2,1
elbe-elster,2,1
"emden, stadt",2,1
emmendingen,2,1
emsland,2,1
ennepe-ruhr-kreis,2,1
enzkreis,2,1
erding,2,1
"erfurt, stadt",2,1
erlangen-höchstadt,2,1
"erlangen, stadt",2,1
erzgebirgskreis,2,1
"essen, stadt",2,1
esslingen,2,1
euskirchen,2,1
"flensburg, stadt",2,1
forchheim,2,1
"frankenthal (pfalz), stadt",2,1
"frankfurt am main, stadt",2,1
"frankfurt (oder), stadt",2,1
"freiburg im breisgau, stadt",2,1
freising,2,1
freudenstadt,2,1
freyung-grafenau,2,1
friesland,2,1
fulda,2,1
fürstenfeldbruck,2,1
"fürth, stadt",2,1
fürth,2,1
garmisch-partenkirchen,2,1
"gelsenkirchen, stadt",2,1
"gera, stadt",2,1
germersheim,2,1
gießen,2,1
gifhorn,2,1
goslar,2,1
gotha,2,1
grafschaft bentheim,2,1
greiz,2,1
groß-gerau,2,1
göppingen,2,1
görlitz,2,1
göttingen,2,1
günzburg,2,1
gütersloh,2,1
"hagen, stadt",2,1
"halle (saale), stadt",2,1
hamburg,2,1
hameln-pyrmont,2,1
"hamm, stadt",2,1
harburg,2,1
harz,2,1
havelland,2,1
haßberge,2,1
heidekreis,2,1
"heidelberg, stadt",2,1
heidenheim,2,1
"heilbronn, stadt",2,1
heilbronn,2,1
heinsberg,2,1
helmstedt,2,1
herford,2,1
"herne, stadt",2,1
hersfeld-rotenburg,2,1
herzogtum lauenburg,2,1
hildburghausen,2,1
hildesheim,2,1
hochsauerlandkreis,2,1
hochtaunuskreis,2,1
"hof, stadt",2,1
hof,2,1
hohenlohekreis,2,1
holzminden,2,1
höxter,2,1
ilm-kreis,2,1
"ingolstadt, stadt",2,1
"jena, stadt",2,1
jerichower land,2,1
"kaiserslautern, stadt",2,1
kaiserslautern,2,1
"karlsruhe, stadt",2,1
karlsruhe,2,1
"kassel, stadt",2,1
kassel,2,1
"kaufbeuren, stadt",2,1
kelheim,2,1
"kempten (allgäu), stadt",2,1
"kiel, stadt",2,1
kitzingen,2,1
kleve,2,1
"koblenz, stadt",2,1
konstanz,2,1
"krefeld, stadt",2,1
kronach,2,1
kulmbach,2,1
kusel,2,1
kyffhäuserkreis,2,1
"köln, stadt",2,1
lahn-dill-kreis,2,1
"landau in der pfalz, stadt",2,1
landsberg am lech,2,1
"landshut, stadt",2,1
landshut,2,1
leer,2,1
"leipzig, stadt",2,1
leipzig,2,1
"leverkusen, stadt",2,1
lichtenfels,2,1
limburg-weilburg,2,1
lindau (bodensee),2,1
lippe,2,1
ludwigsburg,2,1
"ludwigshafen am rhein, stadt",2,1
ludwigslust-parchim,2,1
lörrach,2,1
"lübeck, stadt",2,1
lüchow-dannenberg,2,1
lüneburg,2,1
"magdeburg, stadt",2,1
main-kinzig-kreis,2,1
main-spessart,2,1
main-tauber-kreis,2,1
main-taunus-kreis,2,1
mainz-bingen,2,1
"mainz, stadt",2,1
"mannheim, stadt",2,1
mansfeld-südharz,2,1
marburg-biedenkopf,2,1
mayen-koblenz,2,1
mecklenburgische seenplatte,2,1
meißen,2,1
"memmingen, stadt",2,1
merzig-wadern,2,1
mettmann,2,1
miesbach,2,1
miltenberg,2,1
minden-lübbecke,2,1
mittelsachsen,2,1
märkisch-oderland,2,1
märkischer kreis,2,1
"mönchengladbach, stadt",2,1
mühldorf am inn,2,1
"mülheim an der ruhr, stadt",2,1
"münchen, stadt",2,1
münchen,2,1
"münster, stadt",2,1
neckar-odenwald-kreis,2,1
neu-ulm,2,1
neuburg-schrobenhausen,2,1
neumarkt in der oberpfalz,2,1
"neumünster, stadt",2,1
neunkirchen,2,1
neustadt an der aisch-bad windsheim,2,1
neustadt an der waldnaab,2,1
"neustadt an der weinstraße, stadt",2,1
neuwied,2,1
nienburg (weser),2,1
nordfriesland,2,1
nordhausen,2,1
nordsachsen,2,1
nordwestmecklenburg,2,1
northeim,2,1
"nürnberg, stadt",2,1
nürnberger land,2,1
oberallgäu,2,1
oberbergischer kreis,2,1
"oberhausen, stadt",2,1
oberhavel,2,1
oberspreewald-lausitz,2,1
odenwaldkreis,2,1
oder-spree,2,1
"offenbach am main, stadt",2,1
offenbach,2,1
"oldenburg (oldenburg), stadt",2,1
oldenburg,2,1
olpe,2,1
ortenaukreis,2,1
"osnabrück, stadt",2,1
osnabrück,2,1
ostalbkreis,2,1
ostallgäu,2,1
osterholz,2,1
osterode am harz,2,1
ostholstein,2,1
ostprignitz-ruppin,2,1
paderborn,2,1
"passau, stadt",2,1
passau,2,1
peine,2,1
pfaffenhofen an der ilm,2,1
"pforzheim, stadt",2,1
pinneberg,2,1
"pirmasens, stadt",2,1
plön,2,1
potsdam-mittelmark,2,1
"potsdam, stadt",2,1
prignitz,2,1
rastatt,2,1
ravensburg,2,1
recklinghausen,2,1
regen,2,1
"regensburg, stadt",2,1
regensburg,2,1
region hannover,2,1
rems-murr-kreis,2,1
"remscheid, stadt",2,1
rendsburg-eckernförde,2,1
reutlingen,2,1
rhein-erft-kreis,2,1
rhein-hunsrück-kreis,2,1
rhein-kreis neuss,2,1
rhein-lahn-kreis,2,1
rhein-neckar-kreis,2,1
rhein-pfalz-kreis,2,1
rhein-sieg-kreis,2,1
rheingau-taunus-kreis,2,1
rheinisch-bergischer kreis,2,1
rhön-grabfeld,2,1
"rosenheim, stadt",2,1
rosenheim,2,1
"rostock, stadt",2,1
rostock,2,1
rotenburg (wümme),2,1
roth,2,1
rottal-inn,2,1
rottweil,2,1
saale-holzland-kreis,2,1
saale-orla-kreis,2,1
saalekreis,2,1
saalfeld-rudolstadt,2,1
"saarbrücken, regionalverband",2,1
saarlouis,2,1
saarpfalz-kreis,2,1
"salzgitter, stadt",2,1
salzlandkreis,2,1
schaumburg,2,1
schleswig-flensburg,2,1
schmalkalden-meiningen,2,1
"schwabach, stadt",2,1
schwalm-eder-kreis,2,1
schwandorf,2,1
schwarzwald-baar-kreis,2,1
"schweinfurt, stadt",2,1
schweinfurt,2,1
"schwerin, stadt",2,1
schwäbisch hall,2,1
segeberg,2,1
siegen-wittgenstein,2,1
sigmaringen,2,1
soest,2,1
"solingen, stadt",2,1
sonneberg,2,1
"speyer, stadt",2,1
spree-neiße,2,1
st. wendel,2,1
stade,2,1
starnberg,2,1
steinburg,2,1
steinfurt,2,1
stendal,2,1
stormarn,2,1
straubing-bogen,2,1
"straubing, stadt",2,1
"stuttgart, stadt",2,1
städteregion aachen,2,1
"suhl, stadt",2,1
sächsische schweiz-osterzgebirge,2,1
sömmerda,2,1
südliche weinstraße,2,1
südwestpfalz,2,1
teltow-fläming,2,1
tirschenreuth,2,1
traunstein,2,1
trier-saarburg,2,1
