Value,Disaggregation combinations using this value,Number of indicators
0- to 2-year-olds,420,1
18 - 20 years,3,1
20 - 25 years,3,1
20 - 64 years,52,1
25 - 30 years,3,1
3- to 5-year-olds,420,1
30 - 35 years,3,1
35 - 40 years,3,1
40 - 45 years,3,1
45 - 50 years,3,1
50 - 55 years,3,1
55 - 60 years,3,1
60 - 56 years,3,1
60 - 64 years,52,1
65 - 70 years,3,1
70 - 75 years,3,1
75 and over,3,1
a) 3- to 10-year-olds,9,1
adolescents (12 to 17 years),2,1
adults (15 years and older),18,1
b) 11- to 17-year-olds,9,1
