Value,Disaggregation combinations using this value,Number of indicators
ahrweiler,3,2
aichach-friedberg,3,2
alb-donau-kreis,3,2
altenburger land,3,2
altenkirchen (westerwald),3,2
altmarkkreis salzwedel,3,2
altötting,3,2
alzey-worms,3,2
"amberg, stadt",3,2
amberg-sulzbach,3,2
ammerland,3,2
anhalt-bitterfeld,3,2
"ansbach, stadt",3,2
ansbach,3,2
"aschaffenburg, stadt",3,2
aschaffenburg,3,2
"augsburg, stadt",3,2
augsburg,3,2
aurich,3,2
bad dürkheim,3,2
bad kissingen,3,2
bad kreuznach,3,2
bad tölz-wolfratshausen,3,2
"baden-baden, stadt",3,2
"bamberg, stadt",3,2
bamberg,3,2
barnim,3,2
bautzen,3,2
"bayreuth, stadt",3,2
bayreuth,3,2
berchtesgadener land,3,2
bergstraße,3,2
"berlin, stadt",3,2
bernkastel-wittlich,3,2
biberach,3,2
"bielefeld, stadt",3,2
birkenfeld,3,2
"bochum, stadt",3,2
bodenseekreis,3,2
"bonn, stadt",3,2
borken,3,2
"bottrop, stadt",3,2
"brandenburg an der havel, stadt",3,2
"braunschweig, stadt",3,2
breisgau-hochschwarzwald,3,2
"bremen, stadt",3,2
"bremerhaven, stadt",3,2
burgenlandkreis,3,2
böblingen,3,2
börde,3,2
calw,3,2
celle,3,2
cham,3,2
"chemnitz, stadt",3,2
cloppenburg,3,2
"coburg, stadt",3,2
coburg,3,2
cochem-zell,3,2
coesfeld,3,2
"cottbus, stadt",3,2
cuxhaven,3,2
dachau,3,2
dahme-spreewald,3,2
darmstadt-dieburg,3,2
"darmstadt, stadt",3,2
deggendorf,3,2
"delmenhorst, stadt",3,2
"dessau-roßlau, stadt",3,2
diepholz,3,2
dillingen an der donau,3,2
dingolfing-landau,3,2
dithmarschen,3,2
donau-ries,3,2
donnersbergkreis,3,2
"dortmund, stadt",3,2
"dresden, stadt",3,2
"duisburg, stadt",3,2
düren,3,2
"düsseldorf, stadt",3,2
ebersberg,3,2
eichsfeld,3,2
eichstätt,3,2
eifelkreis bitburg-prüm,3,2
"eisenach, stadt",3,2
elbe-elster,3,2
"emden, stadt",3,2
emmendingen,3,2
emsland,3,2
ennepe-ruhr-kreis,3,2
enzkreis,3,2
erding,3,2
"erfurt, stadt",3,2
erlangen-höchstadt,3,2
"erlangen, stadt",3,2
erzgebirgskreis,3,2
"essen, stadt",3,2
esslingen,3,2
euskirchen,3,2
"flensburg, stadt",3,2
forchheim,3,2
"frankenthal (pfalz), stadt",3,2
"frankfurt am main, stadt",3,2
"frankfurt (oder), stadt",3,2
"freiburg im breisgau, stadt",3,2
freising,3,2
freudenstadt,3,2
freyung-grafenau,3,2
friesland,3,2
fulda,3,2
fürstenfeldbruck,3,2
"fürth, stadt",3,2
fürth,3,2
garmisch-partenkirchen,3,2
"gelsenkirchen, stadt",3,2
"gera, stadt",3,2
germersheim,3,2
gießen,3,2
gifhorn,3,2
goslar,3,2
gotha,3,2
grafschaft bentheim,3,2
greiz,3,2
groß-gerau,3,2
göppingen,3,2
görlitz,3,2
göttingen,3,2
günzburg,3,2
gütersloh,3,2
"hagen, stadt",3,2
"halle (saale), stadt",3,2
hamburg,3,2
hameln-pyrmont,3,2
"hamm, stadt",3,2
harburg,3,2
harz,3,2
havelland,3,2
haßberge,3,2
heidekreis,3,2
"heidelberg, stadt",3,2
heidenheim,3,2
"heilbronn, stadt",3,2
heilbronn,3,2
heinsberg,3,2
helmstedt,3,2
herford,3,2
"herne, stadt",3,2
hersfeld-rotenburg,3,2
herzogtum lauenburg,3,2
hildburghausen,3,2
hildesheim,3,2
hochsauerlandkreis,3,2
hochtaunuskreis,3,2
"hof, stadt",3,2
hof,3,2
hohenlohekreis,3,2
holzminden,3,2
höxter,3,2
ilm-kreis,3,2
"ingolstadt, stadt",3,2
"jena, stadt",3,2
jerichower land,3,2
"kaiserslautern, stadt",3,2
kaiserslautern,3,2
"karlsruhe, stadt",3,2
karlsruhe,3,2
"kassel, stadt",3,2
kassel,3,2
"kaufbeuren, stadt",3,2
kelheim,3,2
"kempten (allgäu), stadt",3,2
"kiel, stadt",3,2
kitzingen,3,2
kleve,3,2
"koblenz, stadt",3,2
konstanz,3,2
"krefeld, stadt",3,2
kronach,3,2
kulmbach,3,2
kusel,3,2
kyffhäuserkreis,3,2
"köln, stadt",3,2
lahn-dill-kreis,3,2
"landau in der pfalz, stadt",3,2
landsberg am lech,3,2
"landshut, stadt",3,2
landshut,3,2
leer,3,2
"leipzig, stadt",3,2
leipzig,3,2
"leverkusen, stadt",3,2
lichtenfels,3,2
limburg-weilburg,3,2
lindau (bodensee),3,2
lippe,3,2
ludwigsburg,3,2
"ludwigshafen am rhein, stadt",3,2
ludwigslust-parchim,3,2
lörrach,3,2
"lübeck, stadt",3,2
lüchow-dannenberg,3,2
lüneburg,3,2
"magdeburg, stadt",3,2
main-kinzig-kreis,3,2
main-spessart,3,2
main-tauber-kreis,3,2
main-taunus-kreis,3,2
mainz-bingen,3,2
"mainz, stadt",3,2
"mannheim, stadt",3,2
mansfeld-südharz,3,2
marburg-biedenkopf,3,2
mayen-koblenz,3,2
mecklenburgische seenplatte,3,2
meißen,3,2
"memmingen, stadt",3,2
merzig-wadern,3,2
mettmann,3,2
miesbach,3,2
miltenberg,3,2
minden-lübbecke,3,2
mittelsachsen,3,2
märkisch-oderland,3,2
märkischer kreis,3,2
"mönchengladbach, stadt",3,2
mühldorf am inn,3,2
"mülheim an der ruhr, stadt",3,2
"münchen, stadt",3,2
münchen,3,2
"münster, stadt",3,2
neckar-odenwald-kreis,3,2
neu-ulm,3,2
neuburg-schrobenhausen,3,2
neumarkt in der oberpfalz,3,2
"neumünster, stadt",3,2
neunkirchen,3,2
neustadt an der aisch-bad windsheim,3,2
neustadt an der waldnaab,3,2
"neustadt an der weinstraße, stadt",3,2
neuwied,3,2
nienburg (weser),3,2
nordfriesland,3,2
nordhausen,3,2
nordsachsen,3,2
nordwestmecklenburg,3,2
northeim,3,2
"nürnberg, stadt",3,2
nürnberger land,3,2
oberallgäu,3,2
oberbergischer kreis,3,2
"oberhausen, stadt",3,2
oberhavel,3,2
oberspreewald-lausitz,3,2
odenwaldkreis,3,2
oder-spree,3,2
"offenbach am main, stadt",3,2
offenbach,3,2
"oldenburg (oldenburg), stadt",3,2
oldenburg,3,2
olpe,3,2
ortenaukreis,3,2
"osnabrück, stadt",3,2
osnabrück,3,2
ostalbkreis,3,2
ostallgäu,3,2
osterholz,3,2
osterode am harz,3,2
ostholstein,3,2
ostprignitz-ruppin,3,2
paderborn,3,2
"passau, stadt",3,2
passau,3,2
peine,3,2
pfaffenhofen an der ilm,3,2
"pforzheim, stadt",3,2
pinneberg,3,2
"pirmasens, stadt",3,2
plön,3,2
potsdam-mittelmark,3,2
"potsdam, stadt",3,2
prignitz,3,2
rastatt,3,2
ravensburg,3,2
recklinghausen,3,2
regen,3,2
"regensburg, stadt",3,2
regensburg,3,2
region hannover,3,2
rems-murr-kreis,3,2
"remscheid, stadt",3,2
rendsburg-eckernförde,3,2
reutlingen,3,2
rhein-erft-kreis,3,2
rhein-hunsrück-kreis,3,2
rhein-kreis neuss,3,2
rhein-lahn-kreis,3,2
rhein-neckar-kreis,3,2
rhein-pfalz-kreis,3,2
rhein-sieg-kreis,3,2
rheingau-taunus-kreis,3,2
rheinisch-bergischer kreis,3,2
rhön-grabfeld,3,2
"rosenheim, stadt",3,2
rosenheim,3,2
"rostock, stadt",3,2
rostock,3,2
rotenburg (wümme),3,2
roth,3,2
rottal-inn,3,2
rottweil,3,2
saale-holzland-kreis,3,2
saale-orla-kreis,3,2
saalekreis,3,2
saalfeld-rudolstadt,3,2
"saarbrücken, regionalverband",3,2
saarlouis,3,2
saarpfalz-kreis,3,2
"salzgitter, stadt",3,2
salzlandkreis,3,2
schaumburg,3,2
schleswig-flensburg,3,2
schmalkalden-meiningen,3,2
"schwabach, stadt",3,2
schwalm-eder-kreis,3,2
schwandorf,3,2
schwarzwald-baar-kreis,3,2
"schweinfurt, stadt",3,2
schweinfurt,3,2
"schwerin, stadt",3,2
schwäbisch hall,3,2
segeberg,3,2
siegen-wittgenstein,3,2
sigmaringen,3,2
soest,3,2
"solingen, stadt",3,2
sonneberg,3,2
"speyer, stadt",3,2
spree-neiße,3,2
st. wendel,3,2
stade,3,2
starnberg,3,2
steinburg,3,2
steinfurt,3,2
stendal,3,2
stormarn,3,2
straubing-bogen,3,2
"straubing, stadt",3,2
"stuttgart, stadt",3,2
städteregion aachen,3,2
"suhl, stadt",3,2
sächsische schweiz-osterzgebirge,3,2
sömmerda,3,2
südliche weinstraße,3,2
südwestpfalz,3,2
teltow-fläming,3,2
tirschenreuth,3,2
traunstein,3,2
trier-saarburg,3,2
"trier, stadt",3,2
tuttlingen,3,2
tübingen,3,2
uckermark,3,2
uelzen,3,2
"ulm, stadt",3,2
unna,3,2
unstrut-hainich-kreis,3,2
unterallgäu,3,2
vechta,3,2
verden,3,2
viersen,3,2
vogelsbergkreis,3,2
vogtlandkreis,3,2
vorpommern-greifswald,3,2
vorpommern-rügen,3,2
vulkaneifel,3,2
waldeck-frankenberg,3,2
waldshut,3,2
warendorf,3,2
wartburgkreis,3,2
"weiden in der oberpfalz, stadt",3,2
weilheim-schongau,3,2
"weimar, stadt",3,2
weimarer land,3,2
weißenburg-gunzenhausen,3,2
werra-meißner-kreis,3,2
wesel,3,2
wesermarsch,3,2
westerwaldkreis,3,2
wetteraukreis,3,2
"wiesbaden, stadt",3,2
"wilhelmshaven, stadt",3,2
wittenberg,3,2
wittmund,3,2
wolfenbüttel,3,2
"wolfsburg, stadt",3,2
"worms, stadt",3,2
wunsiedel im fichtelgebirge,3,2
"wuppertal, stadt",3,2
"würzburg, stadt",3,2
würzburg,3,2
zollernalbkreis,3,2
"zweibrücken, stadt",3,2
zwickau,3,2
