Value,Disaggregation combinations using this value,Number of indicators
code01,22,13
code01001,2,1
code01002,2,1
code01003,2,1
code01004,2,1
code01051,2,1
code01053,2,1
code01054,2,1
code01055,2,1
code01056,2,1
code01057,2,1
code01058,2,1
code01059,2,1
code01060,2,1
code01061,2,1
code01062,2,1
code02,21,12
code02000,2,1
code03,22,13
code03101,2,1
code03102,2,1
code03103,2,1
code03151,2,1
code03153,2,1
code03154,2,1
code03155,2,1
code03156,2,1
code03157,2,1
code03158,2,1
code03159,2,1
code03241,2,1
code03251,2,1
code03252,2,1
code03254,2,1
code03255,2,1
code03256,2,1
code03257,2,1
code03351,2,1
code03352,2,1
code03353,2,1
code03354,2,1
code03355,2,1
code03356,2,1
code03357,2,1
code03358,2,1
code03359,2,1
code03360,2,1
code03361,2,1
code03401,2,1
code03402,2,1
code03403,2,1
code03404,2,1
code03405,2,1
code03451,2,1
code03452,2,1
code03453,2,1
code03454,2,1
code03455,2,1
code03456,2,1
code03457,2,1
code03458,2,1
code03459,2,1
code03460,2,1
code03461,2,1
code03462,2,1
code04,21,12
code04011,2,1
code04012,2,1
code05,22,13
code05111,2,1
code05112,2,1
code05113,2,1
code05114,2,1
code05116,2,1
code05117,2,1
code05119,2,1
code05120,2,1
code05122,2,1
code05124,2,1
code05154,2,1
code05158,2,1
code05162,2,1
code05166,2,1
code05170,2,1
code05314,2,1
code05315,2,1
code05316,2,1
code05334,2,1
code05358,2,1
code05362,2,1
code05366,2,1
code05370,2,1
code05374,2,1
code05378,2,1
code05382,2,1
code05512,2,1
code05513,2,1
code05515,2,1
code05554,2,1
code05558,2,1
code05562,2,1
code05566,2,1
code05570,2,1
code05711,2,1
code05754,2,1
code05758,2,1
code05762,2,1
code05766,2,1
code05770,2,1
code05774,2,1
code05911,2,1
code05913,2,1
code05914,2,1
code05915,2,1
code05916,2,1
code05954,2,1
code05958,2,1
code05962,2,1
code05966,2,1
code05970,2,1
code05974,2,1
code05978,2,1
code06,22,13
code06411,2,1
code06412,2,1
code06413,2,1
code06414,2,1
code06431,2,1
code06432,2,1
code06433,2,1
code06434,2,1
code06435,2,1
code06436,2,1
code06437,2,1
code06438,2,1
code06439,2,1
code06440,2,1
code06531,2,1
code06532,2,1
code06533,2,1
code06534,2,1
code06535,2,1
code06611,2,1
code06631,2,1
code06632,2,1
code06633,2,1
code06634,2,1
code06635,2,1
code06636,2,1
code07,22,13
code07111,2,1
code07131,2,1
code07132,2,1
code07133,2,1
code07134,2,1
code07135,2,1
code07137,2,1
code07138,2,1
code07140,2,1
code07141,2,1
code07143,2,1
code07211,2,1
code07231,2,1
code07232,2,1
code07233,2,1
code07235,2,1
code07311,2,1
code07312,2,1
code07313,2,1
code07314,2,1
code07315,2,1
code07316,2,1
code07317,2,1
code07318,2,1
code07319,2,1
code07320,2,1
code07331,2,1
code07332,2,1
code07333,2,1
code07334,2,1
code07335,2,1
code07336,2,1
code07337,2,1
code07338,2,1
code07339,2,1
code07340,2,1
code08,22,13
code08111,2,1
code08115,2,1
code08116,2,1
code08117,2,1
code08118,2,1
code08119,2,1
code08121,2,1
code08125,2,1
code08126,2,1
code08127,2,1
code08128,2,1
code08135,2,1
code08136,2,1
code08211,2,1
code08212,2,1
code08215,2,1
code08216,2,1
code08221,2,1
code08222,2,1
code08225,2,1
code08226,2,1
code08231,2,1
code08235,2,1
code08236,2,1
code08237,2,1
code08311,2,1
code08315,2,1
code08316,2,1
code08317,2,1
code08325,2,1
code08326,2,1
code08327,2,1
code08335,2,1
code08336,2,1
code08337,2,1
code08415,2,1
code08416,2,1
code08417,2,1
code08421,2,1
code08425,2,1
code08426,2,1
code08435,2,1
code08436,2,1
code08437,2,1
code09,22,13
code09161,2,1
code09162,2,1
code09163,2,1
code09171,2,1
code09172,2,1
code09173,2,1
code09174,2,1
code09175,2,1
code09176,2,1
code09177,2,1
code09178,2,1
code09179,2,1
code09180,2,1
code09181,2,1
code09182,2,1
code09183,2,1
code09184,2,1
code09185,2,1
code09186,2,1
code09187,2,1
code09188,2,1
code09189,2,1
code09190,2,1
code09261,2,1
code09262,2,1
code09263,2,1
code09271,2,1
code09272,2,1
code09273,2,1
code09274,2,1
code09275,2,1
code09276,2,1
code09277,2,1
code09278,2,1
code09279,2,1
code09361,2,1
code09362,2,1
code09363,2,1
code09371,2,1
code09372,2,1
code09373,2,1
code09374,2,1
code09375,2,1
code09376,2,1
code09377,2,1
code09461,2,1
code09462,2,1
code09463,2,1
code09464,2,1
code09471,2,1
code09472,2,1
code09473,2,1
code09474,2,1
code09475,2,1
code09476,2,1
code09477,2,1
code09478,2,1
code09479,2,1
